clear_fraction,lat_cloud,lon_cloud,.geo_cloud,lat_round,lon_round,lat_loss,lon_loss,loss_fraction,.geo_loss,quadrant
0.26767677,-15.680093284306247,-68.44713307348694,,-15.68,-68.447,-15.680093284306247,-68.44713307348694,0.0,,poor_visibility__no_loss
0.46969697,-15.680093284306247,-68.43814992064574,,-15.68,-68.438,-15.680093284306247,-68.43814992064574,0.0,,good_visibility__no_loss
0.46717173,-15.680093284306247,-68.42916676780456,,-15.68,-68.429,-15.680093284306247,-68.42916676780456,0.776,,good_visibility__has_loss
0.44191918,-15.680093284306247,-68.42018361496336,,-15.68,-68.42,-15.680093284306247,-68.42018361496336,0.0,,good_visibility__no_loss
0.4368687,-15.680093284306247,-68.40221730928097,,-15.68,-68.402,-15.680093284306247,-68.40221730928097,0.0,,good_visibility__no_loss
0.37121212,-15.680093284306247,-68.39323415643977,,-15.68,-68.393,-15.680093284306247,-68.39323415643977,0.0,,good_visibility__no_loss
0.21717171,-15.680093284306247,-68.38425100359858,,-15.68,-68.384,-15.680093284306247,-68.38425100359858,0.0,,poor_visibility__no_loss
0.15404041,-15.680093284306247,-68.37526785075738,,-15.68,-68.375,-15.680093284306247,-68.37526785075738,0.0,,poor_visibility__no_loss
0.15656565,-15.680093284306247,-68.36628469791619,,-15.68,-68.366,-15.680093284306247,-68.36628469791619,0.0,,poor_visibility__no_loss
0.2020202,-15.680093284306247,-68.35730154507499,,-15.68,-68.357,-15.680093284306247,-68.35730154507499,0.0,,poor_visibility__no_loss
0.3459596,-15.680093284306247,-68.3483183922338,,-15.68,-68.348,-15.680093284306247,-68.3483183922338,0.0,,good_visibility__no_loss
0.46717173,-15.680093284306247,-68.3393352393926,,-15.68,-68.339,-15.680093284306247,-68.3393352393926,0.0,,good_visibility__no_loss
0.44949496,-15.680093284306247,-68.3303520865514,,-15.68,-68.33,-15.680093284306247,-68.3303520865514,0.0,,good_visibility__no_loss
0.278481,-15.689076437147444,-68.42916676780456,,-15.689,-68.429,-15.689076437147444,-68.42916676780456,0.0,,poor_visibility__no_loss
0.24556962,-15.689076437147444,-68.42018361496336,,-15.689,-68.42,-15.689076437147444,-68.42018361496336,0.0,,poor_visibility__no_loss
0.24242425,-15.689076437147444,-68.41120046212217,,-15.689,-68.411,-15.689076437147444,-68.41120046212217,0.0,,poor_visibility__no_loss
0.24494949,-15.689076437147444,-68.40221730928097,,-15.689,-68.402,-15.689076437147444,-68.40221730928097,0.0,,poor_visibility__no_loss
0.23737374,-15.689076437147444,-68.39323415643977,,-15.689,-68.393,-15.689076437147444,-68.39323415643977,0.0,,poor_visibility__no_loss
0.10606061,-15.689076437147444,-68.38425100359858,,-15.689,-68.384,-15.689076437147444,-68.38425100359858,0.0,,poor_visibility__no_loss
0.116161615,-15.689076437147444,-68.37526785075738,,-15.689,-68.375,-15.689076437147444,-68.37526785075738,0.0,,poor_visibility__no_loss
0.3181818,-15.689076437147444,-68.35730154507499,,-15.689,-68.357,-15.689076437147444,-68.35730154507499,0.0,,poor_visibility__no_loss
0.4520202,-15.689076437147444,-68.3483183922338,,-15.689,-68.348,-15.689076437147444,-68.3483183922338,0.0,,good_visibility__no_loss
0.45959595,-15.689076437147444,-68.3393352393926,,-15.689,-68.339,-15.689076437147444,-68.3393352393926,0.0,,good_visibility__no_loss
0.32070708,-15.689076437147444,-68.3303520865514,,-15.689,-68.33,-15.689076437147444,-68.3303520865514,0.0,,poor_visibility__no_loss
0.35189873,-15.698059589988638,-68.44713307348694,,-15.698,-68.447,-15.698059589988638,-68.44713307348694,0.0,,good_visibility__no_loss
0.2050633,-15.698059589988638,-68.42916676780456,,-15.698,-68.429,-15.698059589988638,-68.42916676780456,0.0,,poor_visibility__no_loss
0.16455697,-15.698059589988638,-68.42018361496336,,-15.698,-68.42,-15.698059589988638,-68.42018361496336,0.0,,poor_visibility__no_loss
0.20253165,-15.698059589988638,-68.41120046212217,,-15.698,-68.411,-15.698059589988638,-68.41120046212217,0.0,,poor_visibility__no_loss
0.19240506,-15.698059589988638,-68.40221730928097,,-15.698,-68.402,-15.698059589988638,-68.40221730928097,0.0,,poor_visibility__no_loss
0.1443038,-15.698059589988638,-68.39323415643977,,-15.698,-68.393,-15.698059589988638,-68.39323415643977,0.0,,poor_visibility__no_loss
0.12626262,-15.698059589988638,-68.38425100359858,,-15.698,-68.384,-15.698059589988638,-68.38425100359858,0.0,,poor_visibility__no_loss
0.16666667,-15.698059589988638,-68.37526785075738,,-15.698,-68.375,-15.698059589988638,-68.37526785075738,0.0,,poor_visibility__no_loss
0.30808082,-15.698059589988638,-68.36628469791619,,-15.698,-68.366,-15.698059589988638,-68.36628469791619,0.0,,poor_visibility__no_loss
0.39646465,-15.698059589988638,-68.35730154507499,,-15.698,-68.357,-15.698059589988638,-68.35730154507499,0.0,,good_visibility__no_loss
0.46464646,-15.698059589988638,-68.3483183922338,,-15.698,-68.348,-15.698059589988638,-68.3483183922338,0.0,,good_visibility__no_loss
0.20759493,-15.707042742829834,-68.41120046212217,,-15.707,-68.411,-15.707042742829834,-68.41120046212217,0.0,,poor_visibility__no_loss
0.1721519,-15.707042742829834,-68.40221730928097,,-15.707,-68.402,-15.707042742829834,-68.40221730928097,0.0,,poor_visibility__no_loss
0.1721519,-15.707042742829834,-68.39323415643977,,-15.707,-68.393,-15.707042742829834,-68.39323415643977,0.0,,poor_visibility__no_loss
0.19493671,-15.707042742829834,-68.38425100359858,,-15.707,-68.384,-15.707042742829834,-68.38425100359858,0.0,,poor_visibility__no_loss
0.26835442,-15.707042742829834,-68.37526785075738,,-15.707,-68.375,-15.707042742829834,-68.37526785075738,0.0,,poor_visibility__no_loss
0.45316455,-15.707042742829834,-68.36628469791619,,-15.707,-68.366,-15.707042742829834,-68.36628469791619,1.0,,good_visibility__has_loss
0.51392406,-15.707042742829834,-68.35730154507499,,-15.707,-68.357,-15.707042742829834,-68.35730154507499,0.3939394,,good_visibility__has_loss
0.443038,-15.707042742829834,-68.3483183922338,,-15.707,-68.348,-15.707042742829834,-68.3483183922338,0.0,,good_visibility__no_loss
0.3838384,-15.707042742829834,-68.3393352393926,,-15.707,-68.339,-15.707042742829834,-68.3393352393926,0.8888889,,good_visibility__has_loss
0.18939394,-15.707042742829834,-68.3303520865514,,-15.707,-68.33,-15.707042742829834,-68.3303520865514,0.0,,poor_visibility__no_loss
0.2050633,-15.716025895671027,-68.40221730928097,,-15.716,-68.402,-15.716025895671027,-68.40221730928097,0.0,,poor_visibility__no_loss
0.25822785,-15.716025895671027,-68.38425100359858,,-15.716,-68.384,-15.716025895671027,-68.38425100359858,0.0,,poor_visibility__no_loss
0.32405064,-15.716025895671027,-68.37526785075738,,-15.716,-68.375,-15.716025895671027,-68.37526785075738,0.0,,poor_visibility__no_loss
0.49620253,-15.716025895671027,-68.36628469791619,,-15.716,-68.366,-15.716025895671027,-68.36628469791619,0.54285717,,good_visibility__has_loss
0.49873418,-15.716025895671027,-68.35730154507499,,-15.716,-68.357,-15.716025895671027,-68.35730154507499,1.0,,good_visibility__has_loss
0.18227848,-15.716025895671027,-68.3303520865514,,-15.716,-68.33,-15.716025895671027,-68.3303520865514,0.0,,poor_visibility__no_loss
0.17974684,-15.725009048512224,-68.40221730928097,,-15.725,-68.402,-15.725009048512224,-68.40221730928097,0.0,,poor_visibility__no_loss
0.16202532,-15.725009048512224,-68.39323415643977,,-15.725,-68.393,-15.725009048512224,-68.39323415643977,0.0,,poor_visibility__no_loss
0.30379745,-15.725009048512224,-68.38425100359858,,-15.725,-68.384,-15.725009048512224,-68.38425100359858,0.0,,poor_visibility__no_loss
0.42025316,-15.725009048512224,-68.37526785075738,,-15.725,-68.375,-15.725009048512224,-68.37526785075738,0.0,,good_visibility__no_loss
0.51392406,-15.725009048512224,-68.36628469791619,,-15.725,-68.366,-15.725009048512224,-68.36628469791619,0.0,,good_visibility__no_loss
0.49113923,-15.725009048512224,-68.35730154507499,,-15.725,-68.357,-15.725009048512224,-68.35730154507499,0.0,,good_visibility__no_loss
0.17721519,-15.73399220135342,-68.40221730928097,,-15.734,-68.402,-15.73399220135342,-68.40221730928097,0.0,,poor_visibility__no_loss
0.22531645,-15.73399220135342,-68.39323415643977,,-15.734,-68.393,-15.73399220135342,-68.39323415643977,0.0,,poor_visibility__no_loss
0.37721518,-15.73399220135342,-68.38425100359858,,-15.734,-68.384,-15.73399220135342,-68.38425100359858,0.0,,good_visibility__no_loss
0.46329114,-15.73399220135342,-68.37526785075738,,-15.734,-68.375,-15.73399220135342,-68.37526785075738,0.0,,good_visibility__no_loss
